year,state,fpl_class,disability,total,mid_acs
2016,Alabama,fpl_000100,20372,265901,7.661498076351725
2016,Alabama,fpl_100200,13583,237579,5.717256154794826
2016,Alaska,fpl_000100,1772,25938,6.83167553396561
2016,Alaska,fpl_100200,944,33640,2.8061831153388823
2016,Arizona,fpl_000100,20049,378800,5.292766631467793
2016,Arizona,fpl_100200,17609,394509,4.463523012149279
2016,Arkansas,fpl_000100,10888,165100,6.594791035735918
2016,Arkansas,fpl_100200,12556,191097,6.5704851462869645
2016,California,fpl_000100,82905,1785347,4.643635102867958
2016,California,fpl_100200,79678,2059967,3.8679260395918966
2016,Colorado,fpl_000100,8653,166204,5.206252557098505
2016,Colorado,fpl_100200,7896,246581,3.202193194122824
2016,Connecticut,fpl_000100,5438,95597,5.68846302708244
2016,Connecticut,fpl_100200,6251,126814,4.929266484772975
2016,Delaware,fpl_000100,2226,35002,6.3596365921947315
2016,Delaware,fpl_100200,2096,37380,5.607276618512573
2016,Florida,fpl_000100,50630,858711,5.896046516231887
2016,Florida,fpl_100200,52395,1040093,5.037530297771449
2016,Georgia,fpl_000100,37272,566005,6.585100838331817
2016,Georgia,fpl_100200,29819,571580,5.216942510234788
2016,Hawaii,fpl_000100,873,30507,2.8616383125184384
2016,Hawaii,fpl_100200,1578,56571,2.7894150713262977
2016,Idaho,fpl_000100,5403,76266,7.084415073558335
2016,Idaho,fpl_100200,5418,115877,4.675647453765631
2016,Illinois,fpl_000100,24916,511679,4.8694591726453496
2016,Illinois,fpl_100200,24132,593191,4.068166914197956
2016,Indiana,fpl_000100,22490,301156,7.46789039567533
2016,Indiana,fpl_100200,17068,363702,4.692852940044322
2016,Iowa,fpl_000100,6816,105032,6.489450834031533
2016,Iowa,fpl_100200,8282,139260,5.947149217291398
2016,Kansas,fpl_000100,7100,99323,7.148394631656313
2016,Kansas,fpl_100200,8617,172377,4.9989267709729255
2016,Kentucky,fpl_000100,22157,247780,8.942206796351602
2016,Kentucky,fpl_100200,13502,223549,6.039839140412169
