"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"C49MN344","blogPost","2020","","Health Insurance Coverage of Low Income Children 0-18 (under 200% FPL)","KFF","","","","https://www.kff.org/other/state-indicator/health-insurance-coverage-of-low-income-children-0-18-under-200-fpl/","The Kaiser Family Foundation website provides in-depth information on key health policy issues including Medicaid, Medicare, health reform, global health, HIV/AIDS, health insurance, the uninsured …","2020-10-23","2022-06-18 12:47:33","2022-06-27 02:33:22","2022-06-21 12:47:33","","","","","","","","","","","","","","en-US","","","","","","","","","C:\Users\andre\Zotero\storage\VRPQ8TZA\health-insurance-coverage-of-low-income-children-0-18-under-200-fpl.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A6HXUHHG","webpage","","US Census Bureau","American Community Survey 2019 1-year data release.","Census.gov","","","","https://www.census.gov/programs-surveys/acs","","","2022-06-18 12:48:04","2022-06-27 02:38:07","2022-06-21 12:48:04","","","","","","","","","","","","","","","","","","","","","","","C:\Users\andre\Zotero\storage\Q6LKDCKL\table.html","","","","","","","US Census Bureau","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"93954R9R","webpage","","","2010 Census Urban and Rural Classification and Urban Area Criteria","","","","","https://www.census.gov/programs-surveys/geography/guidance/geo-areas/urban-rural/2010-urban-rural.html","","","2022-06-18 12:48:25","2022-06-18 12:48:25","2022-06-18 12:48:25","","","","","","","","","","","","","","","","","","","","","","","C:\Users\andre\Zotero\storage\BDCDKQPP\2010-urban-rural.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W26HLKY7","journalArticle","2020","Robinson, Lara R.; McCord, Russell F.; Cloud, Lindsay K.; Kaminski, Jennifer W.; Cook, Amy; Amoroso, Jessica; Watts, Maya Hazarika; Kotzky, Kim; Barry, Caroline M.; Johnson, Rebecca; Kelleher, Kelly J.","Trends Over Time and Jurisdiction Variability in Supplemental Security Income and State Supplementary Payment Programs for Children With Disabilities","Journal of public health management and practice: JPHMP","","1550-5022","10.1097/PHH.0000000000001122","","CONTEXT: Nearly 1.2 million children with disabilities received federally administered Supplemental Security Income (SSI) payments in 2017. Based on a robust review of research and evaluation evidence and microsimulations, The National Academies of Sciences, Engineering, and Medicine committee identified modifications to SSI (ie, increasing the federal SSI benefit maximum by one-third or two-thirds) as 1 of 10 strategies that could reduce the US child poverty rate, improving child health and well-being on a population level. OBJECTIVE: Describing the availability and amount of SSI and State Supplementary Payment (SSP) program benefits to support families of children with disabilities may be a first step toward evaluating The National Academies of Sciences, Engineering, and Medicine-proposed modification to SSI as a potential poverty alleviation and health improvement tool for children with disabilities and their families. DESIGN: We used public health law research methods to characterize the laws (statutes and state agency regulations) governing the federal SSI program and SSP programs in the 50 states and District of Columbia from January 1, 1996, through November 1, 2018. RESULTS: The number of jurisdictions offering supplementary payments (SSP) was relatively stable between 1996 and 2018. In 2018, 23 US jurisdictions legally mandated that SSP programs were available for children. Among the states with SSP payment amounts in their codified laws, SSP monthly benefit amounts ranged from $8 to $64.35 in 1996 and $3.13 to $60.43 in 2018. CONCLUSION: Our initial exploration of SSI-related policies as a tool for improving the economic stability of children with disabilities and their families suggests that current SSPs, in combination with SSI, would not rise to the level of SSI increases proposed by The National Academies of Sciences, Engineering, and Medicine. Understanding more about how SSI and SSP reach children and work in combination with other federal and state income security programs may help identify policies and strategies that better support children with disabilities in low-income households.","2020-04","2022-06-25 14:22:11","2022-06-25 14:22:11","","S45-S53","","","26 Suppl 2, Advancing Legal Epidemiology","","J Public Health Manag Pract","","","","","","","","eng","","","","","PubMed","","PMID: 32004222 PMCID: PMC7268284","","; C:\Users\andre\Zotero\storage\N8WIJZA9\Robinson et al. - 2020 - Trends Over Time and Jurisdiction Variability in S.pdf","http://www.ncbi.nlm.nih.gov/pubmed/32004222","","Child; Child, Preschool; Humans; United States; State Government; Diabetes Mellitus; Disabled Children; Social Security","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YWHUKQYU","webpage","","","Research: Supplemental Security Income Program Entry at Age 18 and Entrants' Subsequent Earnings","Social Security Administration Research, Statistics, and Policy Analysis","","","","https://www.ssa.gov/policy/docs/ssb/v75n3/v75n3p35.html","Social Security Administration Research, Statistics, and Policy Analysis","","2022-06-25 19:09:15","2022-06-27 02:17:55","2022-06-21 19:09:15","","","","","","","Research","","","","","","","en","","","","","","","","","C:\Users\andre\Zotero\storage\7AIWLPYI\v75n3p35.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAS672JC","webpage","","","Supplemental Security Income","","","","","https://www.ssa.gov/ssi/","Apply Online for Disability Benefits.","","2022-06-25 19:10:07","2022-06-27 02:08:34","2022-06-21 19:10:07","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\andre\Zotero\storage\WSEJL76S\ssi.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HCLG4FYJ","webpage","","","Understanding SSI - SSI for Children","","","","","https://www.ssa.gov/ssi/text-child-ussi.htm","To be eligible for SSI benefits, a child must be either blind or disabled.","","2022-06-25 19:11:45","2022-06-27 02:10:59","2022-06-21 19:11:45","","","","","","","","","","","","","","eng","","","","","","","","","C:\Users\andre\Zotero\storage\F5U9PZQT\text-child-ussi.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NW5Z23SQ","webpage","","","Understanding SSI - SSI Benefits","","","","","https://www.ssa.gov/ssi/text-benefits-ussi.htm","This page provides information on the maximum Federal benefit which changes yearly.","","2022-06-25 19:12:38","2022-06-27 02:09:29","2022-06-21 19:12:38","","","","","","","","","","","","","","eng","","","","","","","","","C:\Users\andre\Zotero\storage\KCB2PERZ\text-benefits-ussi.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JYF9LBR7","webpage","","","State Supplemental Payments for Children with Disabilities","","","","","https://www.lawatlas.org/datasets/supplemental-security-income-for-children-with-disabilities","","","2022-06-25 19:13:52","2022-06-27 02:11:27","2022-06-21 19:13:52","","","","","","","","","","","","","","","","","","","","","","","C:\Users\andre\Zotero\storage\DSDYTRAW\supplemental-security-income-for-children-with-disabilities.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ETTY5JYE","webpage","","","SSI Annual Statistical Report, 2020","","","","","https://www.ssa.gov/policy/docs/statcomps/ssi_asr/2020/index.html","Social Security Administration Research, Statistics, and Policy Analysis","","2022-06-25 19:14:49","2022-06-27 02:11:43","2022-06-21 19:14:49","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\andre\Zotero\storage\E44MLIJ4\index.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
